incident_type,details,county,month,year
Poisoning,"Species involved: Buzzard x 1, poison bait (pigeon) x 1. Tested positive for: Carbofuran.",EAST AYRSHIRE,April,2009
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,April,2009
Shooting,Species involved: Tawny owl x 1.,HERTFORDSHIRE,March,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species targeted: Birds of prey. Species involved: Fox x 1. Tested positive for: Carbofuran,ARGYLL AND BUTE,June,2009
Poisoning,Species targeted: Peregrine falcon. Species involved: Poison bait (pigeon) x 1. Tested positive for: Aldicarb.,WEST MIDLANDS,February,2009
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORFOLK,Unknown,2009
Shooting,Species involved: Goshawk x 1.,NORTH YORKSHIRE,October,2009
PersecutionOther,"Species targeted: Birds of prey. Possession of: Carbofuran, methiocarb.",ARGYLL AND BUTE,June,2009
Illegal Trapping (Other),Species targeted: Birds of prey.,MORAY,June,2009
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,PERTH AND KINROSS,April,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,HIGHLAND,March,2009
Shooting,Species involved: Peregrine falcon x 1.,NORTH YORKSHIRE,September,2009
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,ABERDEENSHIRE,April,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,MORAY,May,2009
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 5; poison bait (pheasant) x 2. Tested positive for: Bendiocarb.,HEREFORDSHIRE,October,2009
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,June,2009
Illegal Trapping (Other),Species involved: Buzzard x 1.,NORFOLK,Unknown,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Shooting,Species involved: Peregrine hybrid x 1.,PERTH AND KINROSS,February,2009
Poisoning,Species involved: Buzzard x 2. Tested positive for: Alphachloralose.,PERTH AND KINROSS,March,2009
Illegal Pole/Spring Trapping,Species targeted: Peregrine falcon.,STAFFORDSHIRE,April,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Mevinphos/phosdrin.,MORAY,June,2009
Poisoning,"Species targeted: Peregrine falcon. Species involved: Poison bait (pigeon) x 1. Tested positive for: Aldicarb, carbofuran, carbosulfan.",CUMBRIA,April,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (sheep) x 1. Tested positive for: Carbofuran.,ARGYLL AND BUTE,June,2009
Poisoning,Species involved: Tawny owl x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,January,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,June,2009
Shooting,Species involved: Kestrel x 1.,LINCOLNSHIRE,January,2009
Shooting,Species involved: Kestrel x 1.,NORTH YORKSHIRE,May,2009
Shooting,Species involved: Red kite x 1.,NORTHAMPTONSHIRE,December,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,March,2009
Illegal Pole/Spring Trapping,Species involved: Little owl x 1.,NORFOLK,Unknown,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,ARMAGH,October,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,LEICESTERSHIRE,March,2009
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,March,2009
Shooting,Species involved: Buzzard x 1.,FALKIRK,January,2009
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HIGHLAND,April,2009
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,SOUTH LANARKSHIRE,April,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,"Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Alphachloralose, carbofuran.",PERTH AND KINROSS,August,2009
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,February,2009
Shooting,Species involved: Red kite x 1.,NORTHAMPTONSHIRE,June,2009
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,WEST DUNBARTONSHIRE,September,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (meat) x 1. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species involved: Buzzard x 1. Tested postive for: Carbofuran.,SCOTTISH BORDERS,June,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,DERBYSHIRE,October,2009
Poisoning,Species targeted: Birds of prey. Species involved: Cat x 1. Tested positive for: Carbofuran,EAST AYRSHIRE,January,2009
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,September,2009
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,February,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,ANGUS,April,2009
Shooting,Species involved: Little owl x 1.,NORFOLK,Unknown,2009
Poisoning,"Species targeted: Birds of prey. Species involved: Blackbird x 1; magpie x 1; dog x 1, mouse sp x 1. Tested postive for: Alphachloralose.",ARMAGH,January,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (sheep) x 1. Tested positive for: Coumarin.,HIGHLAND,January,2009
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,April,2009
Poisoning,Species involved: Red kite x 1; posion bait (partridge) x 1. Tested positive for: Alphachloralose.,WILTSHIRE,October,2009
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran,SOUTH LANARKSHIRE,March,2009
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,November,2009
Shooting,Species involved: Hobby x 1.,GREATER LONDON,September,2009
Shooting,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,April,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Shooting,Species involved: Buzzard x 1.,CUMBRIA,March,2009
Illegal Pole/Spring Trapping,Species involved: Peregrine falcon x 1.,STAFFORDSHIRE,March,2009
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,SOUTH LANARKSHIRE,November,2009
PersecutionOther,Species targeted: Birds of prey. Possession of: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species targeted: Peregrine falcon. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,CUMBRIA,June,2009
Shooting,Species involved: Buzzard x 1.,NORFOLK,August,2009
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,ANGUS,July,2009
Shooting,Species involved: Buzzard x 1.,ABERDEENSHIRE,June,2009
Poisoning,Species involved: Buzzard x 1. Tested postive for: Carbofuran.,SCOTTISH BORDERS,September,2009
Poisoning,Species involved: Buzzard x 2. Tested positive for: Carbofuran.,DUMFRIES AND GALLOWAY,October,2009
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,HEREFORDSHIRE,October,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,March,2009
Poisoning,Species involved: Red kite x 1. Tested positive for: Mevinphos.,CAERPHILLY,January,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,April,2009
Nest Destruction,Species involved: Peregrine falcon nest.,STAFFORDSHIRE,May,2009
Poisoning,"Species involved: Golden eagle x 1. Tested positive for: Carbofuran, methiocarb, strychnine.",ARGYLL AND BUTE,June,2009
Poisoning,Species involved: Buzzard x 1; poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,SOUTH LANARKSHIRE,October,2009
Nest Destruction,Species involved: White-tailed eagle nest.,HIGHLAND,Unknown,2009
Shooting,Species involved: Buzzard x 1.,CUMBRIA,January,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 2. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species involved: Sparrowhawk x 1; poison bait (pigeon) x 3. Tested positive for: Bendiocarb.,NORFOLK,October,2009
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,NORTH YORKSHIRE,August,2009
PersecutionOther,Species involved: Sparrowhawk x 1.,GLASGOW CITY,July,2009
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,HEREFORDSHIRE,October,2009
Shooting,Species involved: Buzzard x 1.,NORFOLK,December,2009
Poisoning,Species involved: Golden eagle x 1; poison bait (grouse) x 1. Tested positive for: Carbofuran.,ANGUS,July,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,SOUTH LANARKSHIRE,November,2009
Shooting,Species involved: Buzzard x 1.,PERTH AND KINROSS,September,2009
Poisoning,Species involved: Buzzard x 2. Tested positive for: Alphachloralose.,SOUTH LANARKSHIRE,November,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1; poison bait (pigeon) x 2. Tested positive for: Carbofuran.,SCOTTISH BORDERS,June,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,April,2009
PersecutionOther,"Species targeted: Birds of prey. Possession of: Alphachloralose, carbofuran.",PERTH AND KINROSS,September,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pheasant) x 1. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,PERTH AND KINROSS,October,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,ANGUS,March,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,SOUTH LANARKSHIRE,November,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested postive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Mevinphos/phosdrin.,MORAY,May,2009
Poisoning,Species involved: Red kite x 1; poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,DOWN,October,2009
Shooting,Species involved: Red kite x 1.,TYNE AND WEAR,December,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,April,2009
Shooting,Species involved: Peregrine falcon x 1.,GLOUCESTERSHIRE,June,2009
Shooting,Species involved: Buzzard x 1.,DEVON,June,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,TYRONE,June,2009
Poisoning,Species involved: White-tailed eagle x 1. Tested postive for: Carbofuran.,ANGUS,June,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Aldicarb.,DEVON,February,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Carbofuran.,SOUTH LANARKSHIRE,April,2009
Poisoning,Species involved: Buzzard x 1. Tested positive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Bendiocarb.,HEREFORDSHIRE,November,2009
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Carbofuran.,SOUTH LANARKSHIRE,March,2009
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,CARMARTHENSHIRE,August,2009
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,SOUTH LANARKSHIRE,November,2009
Shooting,Species involved: Red kite x 1.,PERTH AND KINROSS,December,2009
Shooting,Species involved: Peregrine falcon x 1.,HEREFORDSHIRE,July,2008
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (partridge) x 1. Tested positive for: Mevinphos.,CAMBRIDGESHIRE,August,2008
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Carbofuran.,SOMERSET & AVON,September,2008
Poisoning,Species targeted: Birds of prey. Species involved: Crow x 1. Tested positive for: Alphachloralose.,NORFOLK,April,2008
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,WILTSHIRE,July,2008
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,EAST AYRSHIRE,April,2008
Poisoning,"Species involved: Buzzard x 1, poison bait (rabbit) x 1. Tested positive for: Carbofuran.",SOUTH LANARKSHIRE,October,2008
Shooting,Species involved: Barn owl x 1.,CORNWALL,October,2008
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (partridge) x 2. Tested positive for Alphachloralose. Possession of: Alphachloralose.,POWYS,September,2008
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran,ABERDEENSHIRE,June,2008
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (meat) x 1. Tested positive for: Carbofuran.,ANGUS,October,2008
Shooting,Species involved: Kestrel x 1.,COUNTY DURHAM,July,2008
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 2. Tested positive for: Strychnine. Possession of: Strychnine.,DERBYSHIRE,January,2008
Illegal Trapping (Other),Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,March,2008
Shooting,Species involved: Buzzard x 1.,LEICESTERSHIRE,November,2008
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,NORFOLK,Unknown,2008
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,HIGHLAND,November,2008
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HAMPSHIRE,November,2008
Shooting,Species involved: Buzzard x 1.,PERTH AND KINROSS,October,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,HIGHLAND,January,2008
Shooting,Species involved: Hobby x 1.,HEREFORDSHIRE,August,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Posion bait (hare) x 1; poison bait (meat) x 4. Tested positive for: Bendiocarb, carbofuran, isofenphos.",ANGUS,May,2008
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,November,2008
Shooting,Species involved: Red kite x 1.,EAST LOTHIAN,June,2008
Illegal Trapping (Other),Species involved: Kestrel x 3.,PERTH AND KINROSS,July,2008
Shooting,Species involved: Buzzard x 1.,VALE OF GLAMORGAN,November,2008
Shooting,Species involved: Buzzard x 1.,WEST SUSSEX,April,2008
Poisoning,"Species involved: Red kite x 1. Tested positive for: Aldicarb, carbofuran.",LEICESTERSHIRE,September,2008
Poisoning,Species involved: Buzzard x 2; poison bait (rabbot) x 1. Tested positive for: Alphachloralose.,ARMAGH,July,2008
Poisoning,Species involved: Red kite x 1; poison bait (chicken) x 1. Tested positive for: Alphachloralose.,ARMAGH,December,2008
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,NORTH YORKSHIRE,November,2008
Shooting,Species involved: Peregrine falcon x 1.,KENT,August,2008
Shooting,Species involved: Peregrine falcon x 1.,LANCASHIRE,September,2008
Poisoning,Species involved: Buzzard x 4; poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,DUMFRIES AND GALLOWAY,April,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Bendiocarb.,ANGUS,May,2008
Shooting,Species involved: Kestrel x 1.,NORTHUMBERLAND,April,2008
Poisoning,"Species involved: White-tailed eagle x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",ANGUS,May,2008
Shooting,Species involved: Red kite x 1.,EAST RIDING OF YORKSHIRE,May,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,DERBYSHIRE,April,2008
Shooting,Species involved: Red kite x 1.,NORTHAMPTONSHIRE,December,2008
Poisoning,Species involved: Red kite x 1; poison bait (pigeon) x 1. Tested positive for: Alphachloralose.,NORTHAMPTONSHIRE,August,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (meat) x 5. Tested positive for: Bendiocarb, carbofuran, isofenphos.",ANGUS,May,2008
Illegal Trapping (Other),Species involved: Red kite x 1.,BERKSHIRE,May,2008
Shooting,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,August,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (meat) x 8. Tested positive for: Bendiocarb, carbofuran, isofenphos.",ANGUS,May,2008
Poisoning,Species involved: Buzzard x 2. Tested positive for: Carbofuran.,EAST AYRSHIRE,April,2008
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Carbofuran.,EAST AYRSHIRE,April,2008
Shooting,Species involved: Barn owl x 1.,NOTTINGHAMSHIRE,January,2008
Shooting,Species involved: Buzzard x 1.,BUCKINGHAMSHIRE,September,2008
Poisoning,"Species involved: Red kite x 1. Tested positive for: Aldicarb, bendiocarb, carbofuran.",NORTH YORKSHIRE,May,2008
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,May,2008
Poisoning,Species involved: Buzzard x 2. Tested positive for: Alphachloralose.,SCOTTISH BORDERS,March,2008
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,DUMFRIES AND GALLOWAY,August,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (meat) x 3. Tested positive for: Bendiocarb, carbofuran, isofenphos.",ANGUS,May,2008
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Carbofuran.,LONDONDERRY,April,2008
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (unidentified bird) x 1. Tested positive for: Aldicarb.,NORFOLK,June,2008
Poisoning,Species involved: Red kite x 1; poison bait (rabbit) x 1. Tested positive for: Carbofuran.,LEICESTERSHIRE,August,2008
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,MORAY,August,2008
PersecutionOther,Species targeted: Birds of prey. Possession of: Alphachloralose.,SCOTTISH BORDERS,March,2008
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,DENBIGHSHIRE,July,2008
Shooting,Species involved: Sparrowhawk x 1.,PERTH AND KINROSS,May,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,HIGHLAND,December,2008
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Carbofuran, isofenphos.",DUMFRIES AND GALLOWAY,June,2008
Illegal Trapping (Other),Species involved: Goshawk x 1.,ABERDEENSHIRE,March,2008
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,CEREDIGION,March,2008
Illegal Pole/Spring Trapping,Species involved: Peregrine falcon x 1.,STAFFORDSHIRE,May,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Methomyl.,NORTH YORKSHIRE,April,2008
Poisoning,Species targeted: Birds of prey. Species involved: Fox x 1; poison bait (rabbit) x 1. Tested positive for: Bendiocarb.,FLINTSHIRE,June,2008
Shooting,Species involved: Buzzard x 1.,NORTHAMPTONSHIRE,March,2008
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Aldicarb.,STAFFORDSHIRE,June,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,HIGHLAND,March,2008
Nest Destruction,Species involved: Peregrine falcon nest.,WORCESTERSHIRE,April,2008
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HIGHLAND,May,2008
Illegal Trapping (Other),Species involved: Buzzard x 1.,LANCASHIRE,April,2008
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,August,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1, (pheasant) x 1, (rabbit) x 1. Tested positive for: Carbofuran.",ABERDEENSHIRE,March,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Dog x 2. Tested positive for: Diquat, paraquat.",CORNWALL,March,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (meat) x 7. Tested positive for: Bendiocarb, carbofuran, isofenphos.",ANGUS,May,2008
Poisoning,Species involved: Buzzard x 2; crow x 1. Tested positive for: Alphachloralose.,ARMAGH,July,2008
PersecutionOther,Species targeted: Peregrine falcon.,ANTRIM,July,2008
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran.,EAST AYRSHIRE,April,2008
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (meat) x 5. Tested positive for: Bendiocarb, carbofuran, isofenphos.",ANGUS,May,2008
Shooting,Species involved: Red kite x 1.,DOWN,August,2008
Shooting,Species involved: Buzzard x 1.,FIFE,April,2008
Shooting,Species involved: Buzzard x 1.,PERTH AND KINROSS,October,2008
Shooting,Species involved: Buzzard x 1.,WILTSHIRE,September,2008
Illegal Pole/Spring Trapping,Species targeted: Peregrine falcon.,WEST MIDLANDS,May,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,October,2008
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HIGHLAND,August,2008
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 3. Tested positive for: Carbofuran,SOUTH LANARKSHIRE,November,2008
Shooting,Species involved: Buzzard x 1.,DORSET,February,2008
Shooting,Species involved: Buzzard x 1.,ABERDEENSHIRE,July,2008
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,NEATH PORT TALBOT,November,2008
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,COUNTY DURHAM,January,2007
Shooting,Species involved: Marsh harrier x 1.,BEDFORDSHIRE,October,2007
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,April,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,POWYS,September,2007
Shooting,Species involved: Buzzard x 1.,GLOUCESTERSHIRE,October,2007
Shooting,Species involved: Peregrine falcon x 1.,SHROPSHIRE,May,2007
Shooting,Species involved: Buzzard x 1.,WILTSHIRE,March,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,MONMOUTHSHIRE,August,2007
Shooting,Species involved: Buzzard x 1.,COUNTY DURHAM,October,2007
Shooting,Species involved: Buzzard x 1.,CUMBRIA,April,2007
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,SOUTH AYRSHIRE,May,2007
Poisoning,"Species involved: Buzzard x 1; crow x 2; magpie x 1, poison bait (hare/rabbit) x 13. Tested positive for: Carbofuran.",SCOTTISH BORDERS,March,2007
Poisoning,"Species involved: Buzzard x 3; poison bait (hare) x 5, poison bait (rabbit) x 5. Tested positive for: Carbofuran.",SCOTTISH BORDERS,April,2007
Poisoning,Species involved: Peregrine falcon x 2; poison bait (pigeon) x 1. Tested positive for: Carbofuran.,ABERDEENSHIRE,May,2007
Poisoning,Species involved: Buzzard x 1; poison bait (rabbit) x 3; poison bait (hare) x 2. Tested positive for: Carbofuran.,HIGHLAND,June,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2007
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 2; poison bait (bird) x 1. Tested positive for: Strychnine.,WEST YORKSHIRE,February,2007
Poisoning,Species involved: Peregrine falcon x 1; poison bait (pigeon) x 1. Tested positive for: Malathion.,STIRLING,May,2007
Shooting,Species involved: Buzzard x 1.,SHROPSHIRE,May,2007
Shooting,Species involved: Buzzard x 1.,SHROPSHIRE,May,2007
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,April,2007
Nest Destruction,Species involved: Peregrine falcon nest.,WEST YORKSHIRE,April,2007
Shooting,Species involved: Red kite x 1.,EAST RIDING OF YORKSHIRE,April,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,DUMFRIES AND GALLOWAY,December,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2007
Illegal Trapping (Other),Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2007
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SCOTTISH BORDERS,March,2007
Illegal Trapping (Other),Species involved: Kestrel x 3.,ANGUS,August,2007
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (unknown) x 1. Tested positive for: Aldicarb.,EAST RIDING OF YORKSHIRE,May,2007
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,NORTH YORKSHIRE,May,2007
Shooting,Species involved: Hen harrier x 1.,DUMFRIES AND GALLOWAY,April,2007
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,February,2007
Shooting,Species involved: Buzzard x 1.,SURREY,April,2007
Poisoning,Species involved: Buzzard x 1; raven x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,January,2007
Illegal Trapping (Other),Species targeted: Goshawk.,DERBYSHIRE,February,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,April,2007
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,HIGHLAND,May,2007
Illegal Pole/Spring Trapping,Species involved: Barn owl x 1.,ABERDEENSHIRE,September,2007
Shooting,Species involved: Hen harrier x 1.,NORFOLK,October,2007
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,April,2007
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1; poison bait (hare) x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,May,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SOUTH LANARKSHIRE,May,2007
Poisoning,"Species involved: Red kite x 1. Tested positive for: Carbofuran, isofenphos.",PERTH AND KINROSS,August,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,EAST RIDING OF YORKSHIRE,April,2007
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,May,2007
Shooting,Species involved: Buzzard x 1.,CUMBRIA,April,2007
Shooting,Species involved: Sparrowhawk x 1.,WEST MIDLANDS,November,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,April,2007
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HIGHLAND,April,2007
Shooting,Species involved: Peregrine falcon x 1.,ISLE OF WIGHT,July,2007
Shooting,Species involved: Buzzard x 1.,MIDLOTHIAN,March,2007
Poisoning,Species involved: Buzzard x 1; poison bait (rabbit) x 1. Tested positive for: Carbofuran.,HIGHLAND,June,2007
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,LINCOLNSHIRE,January,2007
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,HIGHLAND,December,2007
Shooting,Species involved: Sparrowhawk x 1.,CLEVELAND,February,2007
Illegal Trapping (Other),Species involved: Buzzard x 1.,ABERDEENSHIRE,April,2007
Shooting,Species involved: Buzzard x 1.,MIDLOTHIAN,March,2007
PersecutionOther,"Species targeted: Birds of prey. Possession of: Aldicarb, mevinphos.",WEST YORKSHIRE,December,2007
Shooting,Species involved: Peregrine falcon x 1.,FIFE,March,2007
